Word,Definition,Category,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
repentance,чумонь нолдавтома,,,,,,,,,,,,,
repetition,мельс ледстямо,,,,,,,,,,,,,
replace,полавтомс (лиясо),,,,,,,,,,,,,
replacement,(object) полавтома,,,,,,,,,,,,,
reply,каршовал; валонь пандома,,,,,,,,,,,,,
reply,максомс каршовал,,,,,,,,,,,,,
report,доклад; рапорт,,,,,,,,,,,,,
report,теемс доклад,,,,,,,,,,,,,
reporter,репортёр,,,,,,,,,,,,,
represent,аштемс киньгак таркас,,,,,,,,,,,,,
representation,невтема; чачо,,,,,,,,,,,,,
representative,делегат,,,,,,,,,,,,,
repress,лепштямс,,,,,,,,,,,,,
repression,(political) репрессия,,,,,,,,,,,,,
reprimand,замечания,,,,,,,,,,,,,
reprisal,репрессалия,,,,,,,,,,,,,
reproduce,1. теемс одс 2. раштамс,,,,,,,,,,,,,
reproduction,1. копия 2. раштамо,,,,,,,,,,,,,
reptile,пресмыкающийся; гуйть-метьказт,,,,,,,,,,,,,
republic,республика,,,,,,,,,,,,,
repulsive,(ugly) нулгодькс,,,,,,,,,,,,,
reputation,репутация,,,,,,,,,,,,,
request,энялдома,,,,,,,,,,,,,
request,энялдомс,,,,,,,,,,,,,
require,вешемс,,,,,,,,,,,,,
requirement,вешема (курсонь; закононь),,,,,,,,,,,,,
reschedule,одов аравтомс,,,,,,,,,,,,,
rescue,идема,,,,,,,,,,,,,
rescue,идемс (from костояк),,,,,,,,,,,,,
research,исследования; ванкшнома,,,,,,,,,,,,,
research,ванкшномс; тонавтнемс,,,,,,,,,,,,,
resemble,молемс киньгак ёнов,,,,,,,,,,,,,
resent,мельс а туемс,,,,,,,,,,,,,
resentful,акирдевиця,,,,,,,,,,,,,
resentment,акирдема,,,,,,,,,,,,,
reservation,(land) ванстома мода,,,,,,,,,,,,,
reserve,ванстомс,,,,,,,,,,,,,
reside,эрямс (somewhere косояк),,,,,,,,,,,,,
residence,эрямо тарка,,,,,,,,,,,,,
resident,1. эриця 2. резидент,,,,,,,,,,,,,
resign,туемс служамсто (from косто),,,,,,,,,,,,,
resignation,отказамс таркадо,,,,,,,,,,,,,
resist,аштемс каршо; молемс каршо,,,,,,,,,,,,,
resistance,каршо молема,,,,,,,,,,,,,
resolve,решамс,,,,,,,,,,,,,
resort,курорт,,,,,,,,,,,,,
resource,таштавкст,,,,,,,,,,,,,
resourceful,эрьва тамашасто парсте лисиця,,,,,,,,,,,,,
respect,коронь кирдема; ломанькс путома,,,,,,,,,,,,,
respectable,респектабельной,,,,,,,,,,,,,
respectful,вежливой; ломанькс путыця,,,,,,,,,,,,,
respectively,??мельцек мельцек,,,,,,,,,,,,,
respond,1. вал пандомс; максомс каршовал 2. кунсоломс,,,,,,,,,,,,,
response,валонь пандома; каршовал; кунсолома,,,,,,,,,,,,,
responsibility,ответственность,,,,,,,,,,,,,
responsible,1. ответственной 2. чумо,,,,,,,,,,,,,
responsive,каршовалонь максы; кунсолыця,,,,,,,,,,,,,
rest,оймсема,,,,,,,,,,,,,
rest,оймсемс,,,,,,,,,,,,,
restaurant,ресторан,,,,,,,,,,,,,
restful,оймавтыця,,,,,,,,,,,,,
restoration,витнема-петнема,,,,,,,,,,,,,
restore,1. путомс мекев (тарказонзо; чинэзэнзэ) 2. одкстомтомс,,,,,,,,,,,,,
restrain,кирдевемс,,,,,,,,,,,,,
restraint,кирдевема,,,,,,,,,,,,,
restrict,а лишнойгавтомс,,,,,,,,,,,,,
restriction,а лишнойгавтома; кардамо,,,,,,,,,,,,,
result,савкс; саткс; результат,,,,,,,,,,,,,
resume,поладомс (лоткавтозь тев),,,,,,,,,,,,,
resurrection,вельмема,,,,,,,,,,,,,
retail,(shop) вейте-вейте миема,,,,,,,,,,,,,
retain,кирдевемс,,,,,,,,,,,,,
retake,одов снимардомс,,,,,,,,,,,,,
retaliation,(кежень) пандома,,,,,,,,,,,,,
retention,кирдевема,,,,,,,,,,,,,
retire,лисемс пенсияв,,,,,,,,,,,,,
retirement,пенсияв лисема; пенсия,,,,,,,,,,,,,
retract,саемс мекев (валтнэнь),,,,,,,,,,,,,
retrain,тонавтомс одов,,,,,,,,,,,,,
retraining,одов тонавтома,,,,,,,,,,,,,
retreat,потамо,,,,,,,,,,,,,
retreat,потамс (from -сто/-стэ),,,,,,,,,,,,,
retribution,наказамо,,,,,,,,,,,,,
retrieval,велявтома,,,,,,,,,,,,,
retrieve,якамс (мезень-бути кисэ),,,,,,,,,,,,,
return,1. (receive) килангсто велявтома 2. (send) почтасо мекев велявтома,,,,,,,,,,,,,
return,(send) велявтомс почтасо,,,,,,,,,,,,,
reunion,вейсэньдямо; пурнавома,,,,,,,,,,,,,
reunite,вейсэньдямс,,,,,,,,,,,,,
reuse,нолдамс тевс одов,,,,,,,,,,,,,
reveal,ливтемс лангс,,,,,,,,,,,,,
revealing,лангс ливтиця,,,,,,,,,,,,,
revelation,(thought) потмонь панжома,,,,,,,,,,,,,
revenge,кежень пандома,,,,,,,,,,,,,
reversal,полавтома; мекевлангт аравтома,,,,,,,,,,,,,
reverse,1. (gear) мекевлангонь 2. (object) лия ёнкс 3. (situation) полавтовкст,,,,,,,,,,,,,
reverse,(back) ??полавтомс; велявтомс; потамс,,,,,,,,,,,,,
revert,велявтомс мекев,,,,,,,,,,,,,
review,(book) максомс рецензия,,,,,,,,,,,,,
revise,теемс одов,,,,,,,,,,,,,
revision,одов теема,,,,,,,,,,,,,
revive,1. самс ёжос 2. вельмевтемс,,,,,,,,,,,,,
revolt,кепедевема (тюреме),,,,,,,,,,,,,
revolt,кепедевемс (тюреме),,,,,,,,,,,,,
revolution,1. (revolt) революция 2. (turn) революция; велявтома,,,,,,,,,,,,,
reward,казне,,,,,,,,,,,,,
reward,казнемс (апелема тевень кисэ),,,,,,,,,,,,,
rewind,заводямс,,,,,,,,,,,,,
rewrite,сёрмадомс одов,,,,,,,,,,,,,
rhinoceros,носорог; нерьсюро,,,,,,,,,,,,,
rhythm,ритма,,,,,,,,,,,,,
rib,ирдекс,,,,,,,,,,,,,
ribbon,чова лента,,,,,,,,,,,,,
rice,рис,,,,,,,,,,,,,
rich,сюпав; козяв,,,,,,,,,,,,,
riddle,содамоёвкс,,,,,,,,,,,,,
ride,1. (car) ардома 2. (horse) (ласте) ардома,,,,,,,,,,,,,
ride,1. (bicycle) ардомс 2. (horse) ардомс (ласте),,,,,,,,,,,,,
ridge,пандо кутьмере,,,,,,,,,,,,,
ridiculous,ракамонь,,,,,,,,,,,,,
rifle,винтовка,,,,,,,,,,,,,
right,(direction) вить,,,,,,,,,,,,,
right angle,виде ужокс,,,,,,,,,,,,,
righteous,??праведной,,,,,,,,,,,,,
rigid,калгодо; кеме,,,,,,,,,,,,,
rim,(edge) скоба; край,,,,,,,,,,,,,
rind,лукш (арбузонь),,,,,,,,,,,,,
ring,гайневтема,,,,,,,,,,,,,
ring,гайневтемс (bell баягине),,,,,,,,,,,,,
rinse,ёрвалдомс; ёвардомс,,,,,,,,,,,,,
riot,бороцямо кепетема,,,,,,,,,,,,,
riot,кепетемс бороцямо,,,,,,,,,,,,,
rip,сезевкс,,,,,,,,,,,,,
rip,сеземс,,,,,,,,,,,,,
ripe,кенерезь,,,,,,,,,,,,,
rise,1. лисемс (чи) 2. кепетемс,,,,,,,,,,,,,
risk,риск,,,,,,,,,,,,,
risky,опасной,,,,,,,,,,,,,
ritual,ритуал; ила,,,,,,,,,,,,,
rival,каршо аштиця,,,,,,,,,,,,,
rivalry,конкуренция (каршо аштема),,,,,,,,,,,,,
river,лей,,,,,,,,,,,,,
road,ки,,,,,,,,,,,,,
roast,1. пиемс (сывель толсо; каштомсо) 2. пидемс (сывель толсо; каштомсо),,,,,,,,,,,,,
rob,саламс (bank банксто ярмак),,,,,,,,,,,,,
robbery,саламо,,,,,,,,,,,,,
robe,(ceremony) келей ряса,,,,,,,,,,,,,
robot,робот,,,,,,,,,,,,,
rock,кев,,,,,,,,,,,,,
rocket,ракета,,,,,,,,,,,,,
rocky,кевев,,,,,,,,,,,,,
roll,1. (bread) рулет 2. (paper) тапардавкс,,,,,,,,,,,,,
roll,кеверемс,,,,,,,,,,,,,
romance,роман,,,,,,,,,,,,,
romantic,романтической,,,,,,,,,,,,,
roof,лато; ланго; пря,,,,,,,,,,,,,
room,1. (house) кудо; нупаль 2. (space) тарка,,,,,,,,,,,,,
room-mate,(ве комнатасо) эри ялга,,,,,,,,,,,,,
roomy,келей,,,,,,,,,,,,,
rooster,атякш,,,,,,,,,,,,,
root,юр; ундовкс,,,,,,,,,,,,,
rope,пикс,,,,,,,,,,,,,
rose,роза,,,,,,,,,,,,,
rot,наксадомс,,,,,,,,,,,,,
rotate,чарамс; велямс,,,,,,,,,,,,,
rotten,наксадо,,,,,,,,,,,,,
rough,казямо,,,,,,,,,,,,,
rough,казякадозь,,,,,,,,,,,,,
round,круглой; кеверь,,,,,,,,,,,,,
route,киланго,,,,,,,,,,,,,
routine,режим,,,,,,,,,,,,,
row,(line) ряд,,,,,,,,,,,,,
row,миледемс; панемс (венч),,,,,,,,,,,,,
rowboat,??уемань венч (милесэ паневи),,,,,,,,,,,,,
royal,инеазоронь,,,,,,,,,,,,,
rub,ёзамс; ёзолдомс,,,,,,,,,,,,,
rubber,резина,,,,,,,,,,,,,
rubber band,резинка,,,,,,,,,,,,,
rubbish,(trash) шукш,,,,,,,,,,,,,
ruby,рубин,,,,,,,,,,,,,
rudder,(венчсэ) руль,,,,,,,,,,,,,
rude,обидиця; казямо,,,,,,,,,,,,,
rug,кумбо; ковёр,,,,,,,,,,,,,
ruins,ёмамо; кулома; чавовома,,,,,,,,,,,,,
rule,(regulation) правила,,,,,,,,,,,,,
rule,ветямс; азоркстамс,,,,,,,,,,,,,
ruler,1. (country) азор 2. (tool) линейка,,,,,,,,,,,,,
rumor,кулят??,,,,,,,,,,,,,
rump,пукшо,,,,,,,,,,,,,
run,чиема,,,,,,,,,,,,,
run,чиемс,,,,,,,,,,,,,
rupture,пачк ютамо; сезема,,,,,,,,,,,,,
rural,велень,,,,,,,,,,,,,
rush,капшамо,,,,,,,,,,,,,
rush,капшамс; эрязкалемс,,,,,,,,,,,,,
rust,чемень,,,,,,,,,,,,,
rusty,чеменев,,,,,,,,,,,,,
ruthless,жалосттеме; жестокий,,,,,,,,,,,,,
rye,розь,,,,,,,,,,,,,
sabotage,саботаж; диверсия,,,,,,,,,,,,,
sack,кескал; кескав; мешок,,,,,,,,,,,,,
sacrifice,жертва; анокс,,,,,,,,,,,,,
sacrifice,1. сатстомс 2. анокс кандомс,,,,,,,,,,,,,
sad,нусманя,,,,,,,,,,,,,
saddle,камбраз (лишменень),,,,,,,,,,,,,
sadness,нусманячи,,,,,,,,,,,,,
safe,зыяндо ванстозь,,,,,,,,,,,,,
safety,зыяндо ванстомачи,,,,,,,,,,,,,
sail,вармамевть,,,,,,,,,,,,,
sailboat,вармамевть марто венч,,,,,,,,,,,,,
sailor,моряк,,,,,,,,,,,,,
saint,святой,,,,,,,,,,,,,
salad,салат (анокстазь ярсамопель),,,,,,,,,,,,,
salary,сивеярмак; зарплата,,,,,,,,,,,,,
sale,(price) алкиньгавтозь питнесэ микшнема,,,,,,,,,,,,,
salesman,микшниця (цёра),,,,,,,,,,,,,
saleswoman,микшниця (ава),,,,,,,,,,,,,
saliva,сельге,,,,,,,,,,,,,
salmon,лосось; якстерекал,,,,,,,,,,,,,
salt,сал,,,,,,,,,,,,,
salty,салов,,,,,,,,,,,,,
salute,честень максома,,,,,,,,,,,,,
salute,максомс честь (киненьгак),,,,,,,,,,,,,
salvation,идема,,,,,,,,,,,,,
same,теке,,,,,,,,,,,,,
sample,саевкс (образец),,,,,,,,,,,,,
sanctify,озновтомс,,,,,,,,,,,,,
sanction,санкция,,,,,,,,,,,,,
sanctuary,(animal) идем ракшань ванстома тарка,,,,,,,,,,,,,
sand,човар; чувар; песок,,,,,,,,,,,,,
sandal,сандаля,,,,,,,,,,,,,
sandwich,бутерброд,,,,,,,,,,,,,
sandy,човаров,,,,,,,,,,,,,
sane,ванькс прев,,,,,,,,,,,,,
sanitation,ваньксэкс кирдема,,,,,,,,,,,,,
sap,(tree) чувтоведь,,,,,,,,,,,,,
sapphire,сапфир,,,,,,,,,,,,,
sarcastic,раксиця,,,,,,,,,,,,,
sardine,селёдка,,,,,,,,,,,,,
satellite,спутник,,,,,,,,,,,,,
satisfaction,седейоймавкс; мельспаро,,,,,,,,,,,,,
satisfactory,аволь берянь; сатышка паро,,,,,,,,,,,,,
satisfy,савтомс (киненьгак),,,,,,,,,,,,,
sauce,соус,,,,,,,,,,,,,
sausage,калбаз,,,,,,,,,,,,,
savage,идем (ломанде),,,,,,,,,,,,,
save,1. (money) таштам; ванстомс 2. (person) идемс,,,,,,,,,,,,,
savings,(money) таштавкс,,,,,,,,,,,,,
saw,пила,,,,,,,,,,,,,
saw,пилямс,,,,,,,,,,,,,
say,ёвтамс,,,,,,,,,,,,,
saying,ёвтамо; мерема,,,,,,,,,,,,,
scab,верькуво,,,,,,,,,,,,,
scald,пидсевкс,,,,,,,,,,,,,
scald,пидсемс лаки ведьсэ,,,,,,,,,,,,,
scalp,прякедь,,,,,,,,,,,,,
scandal,кельть-валт; сплетнят,,,,,,,,,,,,,
scar,аржо,,,,,,,,,,,,,
scarce,чуро,,,,,,,,,,,,,
scare,тандавтома,,,,,,,,,,,,,
scare,тандавтомс,,,,,,,,,,,,,
scarf,шарф; галстук,,,,,,,,,,,,,
scatter,почодомс,,,,,,,,,,,,,
scenery,(nature) пейзаж,,,,,,,,,,,,,
scenic,сельмень кецявтыця (живописной) пейзажность,,,,,,,,,,,,,
scent,чине,,,,,,,,,,,,,
sceptical,скептической,,,,,,,,,,,,,
schedule,??мельцек-мельцек сёрмадкс (список),,,,,,,,,,,,,
scholar,тонавтниця,,,,,,,,,,,,,
scholarship,1. содамочи 2. стипендия,,,,,,,,,,,,,
school,школа,,,,,,,,,,,,,
schooling,тонавтнема,,,,,,,,,,,,,
science,наука,,,,,,,,,,,,,
scientific,наукань,,,,,,,,,,,,,
scientist,учёной; содый,,,,,,,,,,,,,
scissors,васоньпеельть,,,,,,,,,,,,,
scold,сёвномс (киньгак),,,,,,,,,,,,,
score,(game) очкань ловажа,,,,,,,,,,,,,
scorpion,скорпион,,,,,,,,,,,,,
scrape,коцькарямс,,,,,,,,,,,,,
scratch,коцькердявкс,,,,,,,,,,,,,
scratch,коцькердямс; раздемс,,,,,,,,,,,,,
scream,рангома,,,,,,,,,,,,,
scream,рангомс верьгавайгельть,,,,,,,,,,,,,
screen,1. (film) экран 2. (net) марля 3. (protection) кекшема 4. (television) экран,,,,,,,,,,,,,
screw,винт,,,,,,,,,,,,,
screw,(screw) винтямс,,,,,,,,,,,,,
screwdriver,1. отвёртка 2. (drink) ??алкогол марто симемапель,,,,,,,,,,,,,
scribble,сёрмадомс капшазь; беряньстэ; теемс каракулят,,,,,,,,,,,,,
script,кедьсёрмадкс,,,,,,,,,,,,,
scripture,Библиянь саевкс,,,,,,,,,,,,,
scrub,шлямс; габзорямс,,,,,,,,,,,,,
sculpture,скульптура (палмань),,,,,,,,,,,,,
sea,иневедь,,,,,,,,,,,,,
sea lion,(иневедень моржадо вишине ракша),,,,,,,,,,,,,
seafood,иневедьстэ ярсамопельть,,,,,,,,,,,,,
seagull,1. калоньсалы 2. (tern) транзей,,,,,,,,,,,,,
seal,1. (animal) тюлень 2. (stamp) печать,,,,,,,,,,,,,
seal,пекстамс печатьс,,,,,,,,,,,,,
seam,ставкс,,,,,,,,,,,,,
search,вешнема,,,,,,,,,,,,,
search,штюпамс-капамс; мучкамс,,,,,,,,,,,,,
search for,вешнемс,,,,,,,,,,,,,
seashore,иневедьчире,,,,,,,,,,,,,
seasick,??иневедень орма,,,,,,,,,,,,,
season,иень шка; ...ланго,,,,,,,,,,,,,
seasonal,иень шкань,,,,,,,,,,,,,
seasoning,специят; салт-порьцькат,,,,,,,,,,,,,
seat,озамо тарка; озамка,,,,,,,,,,,,,
seaweed,иневедь потмаксонь касовкст,,,,,,,,,,,,,
second,(time) секунда,,,,,,,,,,,,,
second,омбоце,,,,,,,,,,,,,
secondary,омбоцькс; мельга молиця,,,,,,,,,,,,,
secrecy,салавачи,,,,,,,,,,,,,
secret,сёпозь; кекшезь; салавань,,,,,,,,,,,,,
secret,салавачи; сёпозь тев,,,,,,,,,,,,,
secretary,секретарь,,,,,,,,,,,,,
secretly,салава,,,,,,,,,,,,,
sect,секта; пуромкс,,,,,,,,,,,,,
section,1. (department) секция 2. (part) пал; куска,,,,,,,,,,,,,
sector,пирязь тарка; сектор,,,,,,,,,,,,,
secure,(safe) сэтьме (зыяндо),,,,,,,,,,,,,
security,(safety) ванстомачи,,,,,,,,,,,,,
sedate,оймавтомс,,,,,,,,,,,,,
sedation,оймавтома,,,,,,,,,,,,,
sedative,оймавты препарат (сэредькстэ),,,,,,,,,,,,,
sediment,(floor) оймавкс; тортат,,,,,,,,,,,,,
seduce,манямс (тейтерьава),,,,,,,,,,,,,
seductive,цёрамелень кепетиця,,,,,,,,,,,,,
see,неемс,,,,,,,,,,,,,
see off,якамс ильтямо,,,,,,,,,,,,,
seed,видьме,,,,,,,,,,,,,
seek,вешнемс,,,,,,,,,,,,,
seem,марявомс,,,,,,,,,,,,,
seemly,ладиця,,,,,,,,,,,,,
segment,пелькс,,,,,,,,,,,,,
segregate,явомс (ломанть лиятнень эйстэ киське тюсонь коряс),,,,,,,,,,,,,
seize,нельгемс,,,,,,,,,,,,,
seizure,(medical) куродома,,,,,,,,,,,,,
seldom,чуросто,,,,,,,,,,,,,
select,кочкамс,,,,,,,,,,,,,
selection,кочкамо,,,,,,,,,,,,,
self,эсь пря,,,,,,,,,,,,,
selfish,эсь прянь вечкиця,,,,,,,,,,,,,
sell,миемс; микшнемс,,,,,,,,,,,,,
seller,микшниця,,,,,,,,,,,,,
semicircle,??чирьке,,,,,,,,,,,,,
seminar,семинар,,,,,,,,,,,,,
send,кучомс,,,,,,,,,,,,,
senile,сырниця,,,,,,,,,,,,,
senior,(older) сыре,,,,,,,,,,,,,
seniority,сыречи-покшчи,,,,,,,,,,,,,
sensation,ёжомарямо,,,,,,,,,,,,,
sensational,сенсационной; ёжомарямонь,,,,,,,,,,,,,
sense,1. (feeling) марямо 2. (meaning) смусть,,,,,,,,,,,,,
senseless,1. (feeling) ёжовтомо 2. (meaning) смусттеме,,,,,,,,,,,,,
sensibility,??превссаевиксчи,,,,,,,,,,,,,
sensible,??превссаевикс,,,,,,,,,,,,,
sensitive,мариця (кедте),,,,,,,,,,,,,
sensitivity,ёжомарямо,,,,,,,,,,,,,
sensual,??потмоёжонь,,,,,,,,,,,,,
sentence,1. (law) приговор (ливтевкс) 2. (letter) валрисьме,,,,,,,,,,,,,
sentence,приговорямс,,,,,,,,,,,,,
sentiment,потмоёжо,,,,,,,,,,,,,
sentimental,ёжомариця; потмоёжонь,,,,,,,,,,,,,
sentry,ванстыця,,,,,,,,,,,,,
separate,башка,,,,,,,,,,,,,
separate,явомс,,,,,,,,,,,,,
separation,явома,,,,,,,,,,,,,
sequence,(order) мельцек-мельцек молема,,,,,,,,,,,,,
sergeant,сержант,,,,,,,,,,,,,
series,серия; рисьме,,,,,,,,,,,,,
serious,сериёзной,,,,,,,,,,,,,
sermon,тонавтовкс; проповедь,,,,,,,,,,,,,
serpent,гуй; ёзнэ,,,,,,,,,,,,,
servant,вардо; важо,,,,,,,,,,,,,
serve,служамс,,,,,,,,,,,,,
service,1. (assistance) лездамо 2. (church) служба (церьковасо) 3. (hotel) обслуживания 4. (maintenance) сервис,,,,,,,,,,,,,
session,промкс; сессия,,,,,,,,,,,,,
set,1. (collection) пурнавкс; коллекция 2. (theater) путовкс (театрасо пьесань),,,,,,,,,,,,,
set,путомс,,,,,,,,,,,,,
settle,(arrange) кортамс (тевенть); самс ве мельс,,,,,,,,,,,,,
settlement,1. (agreement) решения (ярмакт) 2. ве мельс само 3. (colony) колония 4. (legal) приговор,,,,,,,,,,,,,
settler,эрямо сыця/пионер,,,,,,,,,,,,,
seven,сисем,,,,,,,,,,,,,
seventeen,кемзисемге,,,,,,,,,,,,,
seventh,сисемеце,,,,,,,,,,,,,
seventy,сизгемень,,,,,,,,,,,,,
sever,синдемс; керямс,,,,,,,,,,,,,
several,ламо,,,,,,,,,,,,,
severe,1. (strict) строгой 2. (condition) виев,,,,,,,,,,,,,
sew,стамс; сустамс,,,,,,,,,,,,,
sewage,ёртовкст; рудазведь,,,,,,,,,,,,,
sewer,1. стыця 2. рудазведень турбат,,,,,,,,,,,,,
sewing machine,стамо машина,,,,,,,,,,,,,
sex,1. секс 2. сыме (цёрань эли авань),,,,,,,,,,,,,
sexual,сексуальной,,,,,,,,,,,,,
shade,экше,,,,,,,,,,,,,
shadow,сулей,,,,,,,,,,,,,
shaft,1. (mine) шахта 2. (spear) недь; чувто 3. (technical) вал; ось,,,,,,,,,,,,,
shake,1. сорномс 2. сорновтомс 3. тресямс,,,,,,,,,,,,,
shall,кармамс,,,,,,,,,,,,,
shallow,мазя; алкине; адомка,,,,,,,,,,,,,
shallow,мазя тарка,,,,,,,,,,,,,
shame,визьксчама,,,,,,,,,,,,,
shameful,визькс,,,,,,,,,,,,,
shameless,визькстэме,,,,,,,,,,,,,
shampoo,шампунь,,,,,,,,,,,,,
shape,форма; тус,,,,,,,,,,,,,
shapeless,формавтомо,,,,,,,,,,,,,
share,акция; пелькс,,,,,,,,,,,,,
share,явшемс (with марто),,,,,,,,,,,,,
shareholder,акционер,,,,,,,,,,,,,
shark,акула,,,,,,,,,,,,,
sharp,пшти,,,,,,,,,,,,,
sharpen,човамс,,,,,,,,,,,,,
shatter,1. колавомс; порксевемс 2. коламс; порксемс; колавтомс,,,,,,,,,,,,,
shave,нарамс (сакалт-мезть),,,,,,,,,,,,,
she,сон (авань сыме),,,,,,,,,,,,,
shear,нарамс (реве),,,,,,,,,,,,,
shed,лато,,,,,,,,,,,,,
sheep,реве,,,,,,,,,,,,,
sheet,1. (ice) эйгажа 2. (metal) листовой 3. (paper) лопа; арк,,,,,,,,,,,,,
shelf,лався,,,,,,,,,,,,,
shell,1. (turtle) панцирь 2. (bullet) гильза,,,,,,,,,,,,,
shelter,прянь ванстома тарка,,,,,,,,,,,,,
shelter,максомс прянь ванстома тарка,,,,,,,,,,,,,
shepherd,(ревень)  стадаваны,,,,,,,,,,,,,
shield,1. ванстыця 2. щит,,,,,,,,,,,,,
shift,1. (movement) айгема; шаштома 2. (work) важодицянь смена 3. пайме,,,,,,,,,,,,,
shift,шаштомс,,,,,,,,,,,,,
shin,пильгесеерькс (икельёнкс),,,,,,,,,,,,,
shine,цитнема,,,,,,,,,,,,,
shine,цитнемс,,,,,,,,,,,,,
shiny,цитниця,,,,,,,,,,,,,
ship,иневенч; покшвенч,,,,,,,,,,,,,
ship,ускомс (венчсэ; грузавиксэ),,,,,,,,,,,,,
shipyard,венчень теема завод,,,,,,,,,,,,,
shirt,панар,,,,,,,,,,,,,
shiver,сорномс; тарномс (кельмеде),,,,,,,,,,,,,
shock,1. (electric) (токонь) вачкодема 2. (fright) талакадома,,,,,,,,,,,,,
shock,талакавтомс,,,,,,,,,,,,,
shocking,талакавтомс,,,,,,,,,,,,,
shoe,карсемапель; кота,,,,,,,,,,,,,
shoelace,карькс,,,,,,,,,,,,,
shoot,ледемс (ружиясо),,,,,,,,,,,,,
shop,лавка,,,,,,,,,,,,,
shore,эрькепире; иневедьчире,,,,,,,,,,,,,
short,нурькине,,,,,,,,,,,,,
shortage,асатома; асатыкс,,,,,,,,,,,,,
shot,1. укол 2. пушкань ядра,,,,,,,,,,,,,
should,-ма,,,,,,,,,,,,,
shoulder,лавтовпря,,,,,,,,,,,,,
shout,серьгедемс,,,,,,,,,,,,,
shove,тохмадемс; тулкадемс,,,,,,,,,,,,,
shovel,койме,,,,,,,,,,,,,
show,невтемс,,,,,,,,,,,,,
shower,1. (bath) душ 2. (rain) ковол (пиземе),,,,,,,,,,,,,
shrimp,1. креветка (ракшине) 2. пек вишкине ломань,,,,,,,,,,,,,
shrine,гребница; склеп; керемет,,,,,,,,,,,,,
shrink,озамс (коцт муськемстэ),,,,,,,,,,,,,
shut,1. пекстамс 2. сёмомс; конямс (сельмть),,,,,,,,,,,,,
shy,тандадозь; пелиця,,,,,,,,,,,,,
sick,сэредиця,,,,,,,,,,,,,
sickness,орма,,,,,,,,,,,,,
side,бока,,,,,,,,,,,,,
sidewalk,(pavement) тротуар,,,,,,,,,,,,,
sideways,бокаёндо; бокаёнт,,,,,,,,,,,,,
sift,сувтнемс,,,,,,,,,,,,,
sight,(eye) сельмепе,,,,,,,,,,,,,
sign,тешкс,,,,,,,,,,,,,
sign,путомс кедь(тешкс); сёрмадстомс,,,,,,,,,,,,,
signal,сигнал,,,,,,,,,,,,,
signature,кедьтешкс,,,,,,,,,,,,,
significance,смусть,,,,,,,,,,,,,
significant,важной; эрявикс,,,,,,,,,,,,,
silence,1. каштмолема 2. (retension of a secret) чатьмонема,,,,,,,,,,,,,
silent,каштмолиця,,,,,,,,,,,,,
silently,каштмолезь,,,,,,,,,,,,,
silk,парсей,,,,,,,,,,,,,
silver,сия,,,,,,,,,,,,,
similar,лангс-лангс молиця,,,,,,,,,,,,,
similarity,лангс-лангс молема,,,,,,,,,,,,,
simple,шожда (тев),,,,,,,,,,,,,
simplify,шождалгавтомс,,,,,,,,,,,,,
simply,1. шождасто 2. ансяк истя,,,,,,,,,,,,,
simultaneous,ве шкань,,,,,,,,,,,,,
sin,пежеть; грех,,,,,,,,,,,,,
sin,совамс пежетьс,,,,,,,,,,,,,
since,-сто/-стэ саезь,,,,,,,,,,,,,
since,седе мейле; кода...,,,,,,,,,,,,,
since,секскак,,,,,,,,,,,,,
sincere,паронь арсиця; седейшкава,,,,,,,,,,,,,
sincerely,паронь арсезь,,,,,,,,,,,,,
sincerity,??панжадо ойме,,,,,,,,,,,,,
sinful,пежетев; грешной,,,,,,,,,,,,,
sing,морамс,,,,,,,,,,,,,
singer,морыця,,,,,,,,,,,,,
single,(person) (ялгавтомо) вейкине,,,,,,,,,,,,,
sink,(basin) раковина,,,,,,,,,,,,,
sink,1. ваямс 2. ваявтомс,,,,,,,,,,,,,
sinner,пежетьс совиця,,,,,,,,,,,,,
sinus,судоваря,,,,,,,,,,,,,
sip,корштамс (турвапесэ),,,,,,,,,,,,,
sir,сэр; азор,,,,,,,,,,,,,
siren,сирена,,,,,,,,,,,,,
sister,1. (elder) (покш) патя 2. (younger) сазор,,,,,,,,,,,,,
sister-in-law,1. (husband's older brother's wife) сырькай 2. (husband's older sister) патя 3. (husband's younger brother's wife) мирдень ялаксонь ни 4. (husband's younger sister) парыя 5. (wife's older brother's wife) нинь лелянь ни 6. (wife's older sister) балдуз 7. (wife's younger brother's wife) нинь ялаксонь ни 8. (wife's younger sister) балдуз,,,,,,,,,,,,,
sit,1. озамс 2. озадо аштемс,,,,,,,,,,,,,
situation,тарка; ситуация,,,,,,,,,,,,,
six,кото,,,,,,,,,,,,,
sixteen,кемготово,,,,,,,,,,,,,
sixth,котоце,,,,,,,,,,,,,
sixty,кодгемень,,,,,,,,,,,,,
size,покшолма,,,,,,,,,,,,,
skate,(ice) конька,,,,,,,,,,,,,
skate,(ice) кирякстнемс конькасо,,,,,,,,,,,,,
skeleton,камбраз (рунгонь),,,,,,,,,,,,,
skeptical,акемиця,,,,,,,,,,,,,
sketch,рисунок; артовкс,,,,,,,,,,,,,
sketch,рисовамс; артомс,,,,,,,,,,,,,
ski,сокс,,,,,,,,,,,,,
